,base,exp,tau,type,strike,bid,ask,last_deal,th_price,sigma,underlying_price,sigma-ask,sigma-bid
460,H&H,21-05-20,7,Put,72.25,0.033,0.1,0.0,72.0,16.317,74.443,13.5956662335944,17.86482473504195
461,H&H,21-05-20,7,Put,72.5,0.056,0.081,0.08,94.0,16.055,74.443,13.969075555891825,15.404895976926413
462,H&H,21-05-20,7,Put,72.75,0.025,0.0,0.0,123.0,15.862,74.443,10.418310388775371,
463,H&H,21-05-20,7,Put,73.0,0.122,0.15,0.147,162.0,15.74,74.443,14.206531063697259,15.295125911754138
464,H&H,21-05-20,7,Put,73.25,0.075,0.398,0.0,213.0,15.691,74.443,10.631390432136682,21.25355743541206
465,H&H,21-05-20,7,Put,73.5,0.241,0.28,0.207,277.0,15.713,74.443,14.630715502826039,15.777348538217511
466,H&H,21-05-20,7,Put,73.75,0.173,1.0,0.0,358.0,15.804,74.443,10.611049844274483,32.189384933457596
467,H&H,21-05-20,7,Put,74.0,0.429,0.465,0.44,456.0,15.962,74.443,15.259384969872308,16.17104711161169
468,H&H,21-05-20,7,Put,74.25,0.111,1.111,0.65,571.0,16.184,74.443,4.681429826781005,29.339909220761466
469,H&H,21-05-20,7,Put,74.5,0.667,0.756,0.686,704.0,16.464,74.443,15.509252181890215,17.673754096400803
470,H&H,21-05-20,7,Put,74.75,0.111,0.0,0.0,854.0,16.799,74.443,,
471,H&H,21-05-20,7,Put,75.0,0.974,1.088,1.0,1020.0,17.183,74.443,15.94814209405959,18.846218627005324
472,H&H,21-05-20,7,Put,75.25,0.111,0.0,0.0,1199.0,17.613,74.443,,
473,H&H,21-05-20,7,Put,75.5,1.362,1.489,1.244,1389.0,18.084,74.443,17.194970599928062,20.74064897734884
474,H&H,21-05-20,7,Put,75.75,0.011,0.0,0.0,1591.0,18.59,74.443,,
475,H&H,21-05-20,7,Put,76.0,1.738,1.869,1.6,1800.0,19.127,74.443,16.868460229391452,21.175060714766637
476,H&H,21-05-20,7,Put,76.25,0.0,0.0,0.0,2016.0,19.691,74.443,,
477,H&H,21-05-20,7,Put,76.5,2.213,2.332,2.085,2239.0,20.278,74.443,19.064750683121105,23.460497949383907
478,H&H,21-05-20,7,Put,76.75,0.0,0.0,0.0,2466.0,20.884,74.443,,
479,H&H,21-05-20,7,Put,77.0,2.609,2.747,2.583,2696.0,21.504,74.443,16.40685984554552,23.461517259759923
480,H&H,21-05-20,7,Put,77.25,0.0,0.0,0.0,2930.0,22.135,74.443,,
481,H&H,21-05-20,7,Put,77.5,3.077,3.21,0.0,3166.0,22.774,74.443,15.604653350663389,24.704603191209547
482,H&H,21-05-20,7,Put,77.75,0.0,0.0,0.0,3404.0,23.417,74.443,,
483,H&H,21-05-20,7,Put,78.0,0.053,0.0,0.0,3644.0,24.061,74.443,,
484,H&H,21-05-20,7,Put,78.25,0.0,0.0,0.0,3885.0,24.704,74.443,,
485,H&H,21-05-20,7,Put,78.5,0.0,0.0,0.0,4127.0,25.342,74.443,,
486,H&H,21-05-20,7,Put,78.75,0.0,0.0,0.0,4370.0,25.974,74.443,,
487,H&H,21-05-20,7,Put,79.0,1.35,0.0,4.56,4614.0,26.597,74.443,,
488,H&H,21-05-20,7,Put,79.25,0.0,0.0,0.0,4859.0,27.209,74.443,,
489,H&H,21-05-20,7,Put,79.5,0.0,0.0,0.0,5104.0,27.808,74.443,,
490,H&H,21-05-20,7,Put,79.75,0.0,0.0,0.0,5349.0,28.394,74.443,,
491,H&H,21-05-20,7,Put,80.0,2.436,0.0,0.0,5595.0,28.963,74.443,,
492,H&H,21-05-20,7,Put,80.25,0.0,0.0,0.0,5841.0,29.517,74.443,,
493,H&H,21-05-20,7,Put,80.5,0.0,0.0,0.0,6087.0,30.052,74.443,,
494,H&H,21-05-20,7,Put,80.75,0.0,0.0,0.0,6334.0,30.57,74.443,,
495,H&H,21-05-20,7,Put,81.0,0.045,0.0,0.0,6581.0,31.068,74.443,,
496,H&H,21-05-20,7,Put,81.25,0.0,0.0,0.0,6828.0,31.547,74.443,,
497,H&H,21-05-20,7,Put,81.5,0.0,0.0,0.0,7076.0,32.006,74.443,,
498,H&H,21-05-20,7,Put,81.75,0.0,0.0,0.0,7323.0,32.444,74.443,,
499,H&H,21-05-20,7,Put,82.0,0.0,0.0,0.0,7571.0,32.863,74.443,,
500,H&H,21-05-20,7,Put,82.25,0.0,0.0,0.0,7819.0,33.261,74.443,,
501,H&H,21-05-20,7,Put,82.5,0.0,0.0,0.0,8067.0,33.64,74.443,,
502,H&H,21-05-20,7,Put,82.75,0.0,0.0,0.0,8315.0,33.999,74.443,,
503,H&H,21-05-20,7,Put,83.0,0.0,0.0,0.0,8564.0,34.338,74.443,,
504,H&H,21-05-20,7,Put,83.25,0.0,0.0,0.0,8812.0,34.658,74.443,,
505,H&H,21-05-20,7,Put,83.5,0.0,0.0,0.0,9061.0,34.96,74.443,,
506,H&H,21-05-20,7,Put,83.75,0.0,0.0,0.0,9309.0,35.244,74.443,,
507,H&H,21-05-20,7,Put,84.0,0.0,0.0,0.0,9558.0,35.51,74.443,,
508,H&H,21-05-20,7,Put,84.25,0.0,0.0,0.0,9807.0,35.759,74.443,,
509,H&H,21-05-20,7,Put,84.5,0.0,0.0,0.0,10056.0,35.992,74.443,,
510,H&H,21-05-20,7,Put,84.75,0.0,0.0,0.0,10305.0,36.209,74.443,,
511,H&H,21-05-20,7,Put,85.0,0.0,0.0,0.0,10555.0,36.412,74.443,,
512,H&H,21-05-20,7,Put,85.25,0.0,0.0,0.0,10804.0,36.6,74.443,,
513,H&H,21-05-20,7,Put,85.5,0.0,0.0,0.0,11053.0,36.774,74.443,,
514,H&H,21-05-20,7,Put,85.75,0.0,0.0,0.0,11303.0,36.935,74.443,,
515,H&H,21-05-20,7,Put,86.0,0.0,0.0,0.0,11552.0,37.084,74.443,,
516,H&H,21-05-20,7,Put,86.25,0.0,0.0,0.0,11802.0,37.222,74.443,,
517,H&H,21-05-20,7,Put,86.5,0.0,0.0,0.0,12051.0,37.348,74.443,,
518,H&H,21-05-20,7,Put,86.75,0.0,0.0,0.0,12301.0,37.465,74.443,,
