"Date","Time","Symbol","Strike","Root","Expiration Date","Option","Qty","Open Interest","Trades Count","Option Volume","Total Trade Notional - Spot","Total Trade Premium","Total Edge","Contract Edge","Exchange Sequence Number","Price","Price Change","Theo","Theo Iv","Type","Exchange","Condition","Canceled Condition","Bid","Ask","Market","Premium","Spot Moneyness","Time Until Expiration","Trade Iv","Trade Iv Change","Trade Delta","Trade Gamma","Trade Vega","Trade Theta","Trade Rho","Underlying Bid","Underlying Ask","Market - Underlying","Underlying Trade Price","Underlying Change From Close","Underlying Change From Open","OnBidAsk","Market Condition"
"2024-06-26","10:32:32:072","AMZN",192.5,"AMZN","2024-07-12T04:00:00.000Z","AMZN(W) Jul12 192.50 C",103,"735.00",179,1253,1956433,31415,"831.33","8.07",262313736,"3.05","1.12","2.97","0.24","C","ISE","IntermarketSweep","Normal Trade","2.97","3.05","2.97 x 3.05","3.05","1.01",16.24826431274414,"24.53","0.00","0.43","0.04","0.16","-0.12","0.04","189.94","189.95","189.94 x 189.95","190.00","3.66","3.26","A","I"
"2024-06-26","10:31:41:486","AMZN",190,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 190.00 C",103,"35803.00",5450,34374,1955815,18128,"350.60","3.40",258560287,"1.76","1.00","1.73","0.29","C","AMEX","AutoExecution","Normal Trade","1.75","1.76","1.75 x 1.76","1.76","1.00",2.2488889694213867,"29.53","0.02","0.51","0.09","0.06","-0.45","0.01","189.88","189.89","189.88 x 189.89","189.88","3.54","3.14","A","I"
"2024-06-26","10:47:05:852","AMZN",195,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 195.00 C",102,"39268.00",2097,18929,1949628,36720,"151.26","1.48",219002764,"3.60","1.58","3.59","0.26","C","ISE","SingLegAuctISO","Normal Trade","3.55","3.60","3.55 x 3.60","3.60","1.02",23.23819351196289,"25.59","0.01","0.42","0.03","0.19","-0.10","0.05","191.13","191.15","191.13 x 191.15","191.15","4.81","4.41","A","I"
"2024-06-26","10:31:46:201","AMZN",195,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 195.00 C",102,"39268.00",1266,13483,1936521,29886,"269.88","2.65",174128960,"2.93","0.91","2.90","0.25","C","NASDBX","AutoExecution","Normal Trade","2.91","2.95","2.91 x 2.95","2.93","1.03",23.248889923095703,"24.67","-0.00","0.37","0.03","0.18","-0.10","0.04","189.85","189.86","189.85 x 189.86","189.85","3.51","3.11","I","I"
"2024-06-26","09:33:52:893","AMZN",190,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 190.00 C",102,"35803.00",263,2493,1902504,6120,"117.12","1.15",23521516,"0.60","-0.16","0.61","0.30","C","NASDBX","AutoExecution","Normal Trade","0.59","0.60","0.59 x 0.60","0.60","1.02",2.2890970706939697,"30.21","0.02","0.23","0.07","0.05","-0.31","0.00","186.51","186.53","186.51 x 186.53","186.50","0.16","-0.24","A","I"
"2024-06-26","10:47:54:164","AMZN",195,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 195.00 C",101,"21772.00",2288,14351,1935159,7575,"4.86","0.05",330433602,"0.75","0.61","0.75","0.33","C","GEMX","AutoExecution","Normal Trade","0.74","0.75","0.74 x 0.75","0.75","1.02",2.2376389503479004,"32.68","0.02","0.26","0.07","0.05","-0.38","0.00","191.59","191.61","191.59 x 191.61","191.61","5.27","4.87","A","I"
"2024-06-26","10:53:20:765","AMZN",187.5,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 187.50 P",101,"1621.00",186,1377,1926322,29795,"521.11","5.16",237471557,"2.95","-1.45","2.90","0.24","P","PEARL","AutoExecution","Normal Trade","2.90","2.95","2.90 x 2.95","2.95","0.98",23.233888626098633,"24.49","0.00","-0.36","0.03","0.18","-0.10","-0.04","190.72","190.73","190.72 x 190.73","190.72","4.38","3.98","A","I"
"2024-06-26","10:17:36:895","AMZN",185,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 185.00 P",101,"13921.00",849,4038,1905163,4747,"37.38","0.37",197194913,"0.47","-0.43","0.47","0.30","P","NASD","AutoExecution","Normal Trade","0.46","0.47","0.46 x 0.47","0.47","0.98",2.2587499618530273,"29.67","0.03","-0.19","0.06","0.04","-0.27","-0.00","188.62","188.64","188.62 x 188.64","188.64","2.30","1.90","A","I"
"2024-06-26","10:22:29:317","AMZN",195,"AMZN","2024-07-19T04:00:00.000Z","AMZN Jul19 195.00 C",101,"39268.00",723,9723,1905819,26058,"270.25","2.68",144602591,"2.58","0.56","2.55","0.25","C","AMEX","AutoExecution","Normal Trade","2.54","2.58","2.54 x 2.58","2.58","1.03",23.255277633666992,"24.99","0.00","0.34","0.03","0.17","-0.09","0.04","188.68","188.71","188.68 x 188.71","188.69","2.35","1.95","A","I"
"2024-06-26","11:12:17:500","AMZN",192.5,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 192.50 C",100,"18683.00",7709,39130,1909798,11200,"174.32","1.74",429013147,"1.12","0.80","1.14","0.29","C","PHLX","SingLegAuctNonISO","Normal Trade","1.12","1.15","1.12 x 1.15","1.12","1.01",2.220763921737671,"29.03","0.00","0.38","0.09","0.06","-0.42","0.00","190.96","191.00","190.96 x 191.00","190.99","4.65","4.25","B","I"
